original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis
0.861086206,0.702650218,40.56075177,57.72538134,57.55866572,63.89053138,59.13543777,65.32227798,31564.70833,49.70652963,0.260631708,18532.104,0.587114691,31485,597.364563,868.2712158,17315863111,4.246425976,130.0281982,5.445478449,1403.253784,89.74273194,730.7553431,729.7335815,180.8505554,1222.403229,53.79570153,741.6008572,0.622460629,17315863111,0.070935128,15968.45989,551.0538152,22.94202516,53806.54236,869.6440918,103.0908724,4.244885386,0.921090773,1.334160887,2.191380938,2.398847129,0.016743227,6.963005605,-0.36987586,0.976005876,0.546913388,0.998324061,0.587330313,0.974865441,0.434975229,0.0505185,5.24288212,26.83393945,1506.507812,0.064208586,29.57146252,551.7524695,2.491647871,1309.675552,0.005781993,0.002516916,5.426372581,14713.20565,0.6241832,0.743768095,0.652907331,0.816895793,455.8689324,0.002116698,61.95268139,0.032572388,76.2638166,527.5247108,24133.06046,12496856.56,48.35983072,0.0052359,468.1955836,0.246159613,0.505215043,245.0708024,0.003039408,7.68436241,0.060409719,23859.03787,8.030590097,2209.854121,0.070187522,20.69196939,2233.392504,25.62227608,542.2447832,79.39866603,39368.30519,0.174471836,0.002430761,0.071454306,38.39054543,0.000299502
0.624455029,0.50817694,37.81825912,74.41947113,65.4599114,60.14149982,60.08327554,72.53275122,19228.33333,46.471613,0.170653059,20339.07236,1.057765746,19677,325.2276245,398.7542175,2581138908,2.345602885,36.26409912,6.819909384,652.5986938,23.76273196,360.7460239,357.7810059,255.0070801,397.5916138,15.24421344,362.1814857,1.154925687,2581138908,0.245750088,1037.734837,25.51554412,4.903043368,272.250884,17.88818809,6.46954766,0.570236517,0.837716402,0.43919583,1.171301553,0.369622753,0.120978634,3.781530672,-0.390187216,0.911105875,0.792800606,0.998054467,0.79840701,0.975965967,0.355878186,0.234169031,3.210333999,1.759946044,2603.305381,0.226334967,2.030749337,27.81178331,4.661318793,112.6211936,0.245536462,0.049570745,4.098438698,5015.703947,0.426751553,0.583965661,1.542614074,0.667554407,19.67743203,0.031909397,81.00397614,0.161041702,4.318407646,33.64612326,102229.3976,2302503.41,4872.995124,0.055013757,97.9304175,0.194692679,0.451042789,14.88142786,0.025570144,6.004093656,0.02556284,100699.0792,6.70079605,964.4189155,0.049012498,31.77269222,4835.624485,1.735734955,26.04233369,171.4116481,3838.776694,9.445037909,0.051264099,0.029774322,0.964460622,0.001494262
0.758114329,0.683613138,36.61000322,53.5536858,55,61.81423784,63.3245608,63.5688603,42485.29167,40.59981657,0.330673342,17806.4499,0.41912034,42366,594.7516174,688.9313354,17615021609,2.694190252,41.16256714,17.00650995,798.7990723,34.71219465,642.3136442,653.2879028,72.41903687,726.3800354,17.7158021,644.811626,-3.071474962,17615021609,0.211839854,3215.215475,595.0468306,24.33334944,2774.200525,-136.511199,13.98686784,2.251505596,0.717200598,0.773985549,1.61727808,1.629490961,0.08547856,4.493512908,-0.274676858,0.859583555,0.70280282,0.997646968,0.717878854,0.976296932,0.417526058,0.181200267,3.49500265,4.059593359,4348.56143,0.177008642,7.654092162,574.2064726,5.199260824,3149.8976,0.008892582,0.001974632,4.59753754,10898.30396,0.438997841,0.576492761,1.968348939,0.684666245,382.2121478,0.0014476,90.41789216,0.05540312,26.52472607,389.7634804,201264.761,123434407.2,329.1714646,0.004584659,551.1176471,0.337694637,0.603024436,211.1085632,0.00339478,6.568687474,0.038521456,200590.8623,6.972613597,1900.330265,0.044855079,36.68518852,8974.807251,5.231463007,590.4725959,180.9538309,111245.1419,0.296828883,0.001836323,0.044150825,19.08995755,0.000177298
0.730736924,0.558908474,15.22779707,27.24560064,30.52867504,24.20743687,26.41968963,31.78049716,4462.833333,19.90936642,0.524637735,2498.609455,0.559870663,4467,974.2239014,1186.026807,5369985667,3.651855914,126.5610352,2.719065477,1265.596558,70.30956567,1093.193801,1114.39856,806.9636841,458.6328735,52.06428144,1096.424135,-0.666642954,5369985667,0.093546591,7073.198174,157.4741994,12.14937121,4241.644496,-148.7762817,41.24875328,1.791412034,0.916404277,0.979067524,1.743272576,0.797757614,0.024019508,5.924965667,-0.365180459,0.960131206,0.587889881,0.995131103,0.619031848,0.952897246,0.495115399,0.06760868,4.572293628,10.76004133,290.842979,0.089023908,11.86071815,158.8338214,2.565172515,420.8549487,0.026066755,0.012369334,4.804204689,1960.838838,0.594357211,0.730812282,0.642752116,0.797166664,125.2033238,0.010480986,7.277777778,0.067386831,26.80478395,126.25,15696.43519,2820419.657,105.5530918,0.054647344,26.07407407,0.241426612,0.505968145,56.33596943,0.02674263,5.750225526,0.0241773,13985.69367,7.27815424,364.0875308,0.081506051,13.12043752,417.8726214,11.39245966,160.9959704,77.10252966,12991.31968,0.648986094,0.01144162,0.042267752,5.778707893,0.001173039
0.862838341,0.668299919,36.28715992,54.29771704,54.12947441,59.07622195,58.69412236,59.61543424,36665.08333,46.85015207,0.246960189,21611.86735,0.589440017,36577,1241.180298,1463.622339,66957107869,3.839246037,113.2027588,3.562118522,1735.206909,69.22335035,1350.10128,1342.113403,1052.112427,683.0944824,47.33399014,1352.989113,0.487078936,66957107869,0.083213849,7806.075499,166.624594,12.47183481,7674.450222,151.5231262,46.96701998,2.662180427,0.892654826,1.177440814,1.968666818,1.217586587,0.017572921,6.43860385,-0.318929766,0.948579971,0.544520493,0.99665533,0.585322706,0.961017144,0.466050186,0.043976663,4.785995625,12.4073001,2255.382919,0.081120183,13.07907694,172.3179521,2.313782145,378.4150313,0.019951915,0.008463563,4.9050152,17616.81667,0.626644281,0.760004711,0.521545949,0.816792956,142.8983118,0.006874654,82.38269896,0.057012248,23.90877695,214.2532872,49455.44014,7016276.069,389.2350268,0.009957947,318.3619377,0.22031968,0.47893655,100.6636278,0.004786503,7.161407515,0.0395057,48814.70215,7.569663641,3047.605736,0.083320276,12.7970942,3043.712962,12.56428755,168.886404,65.21292069,9964.94502,0.577704199,0.008523993,0.057244991,11.09082393,0.000505403
0.860791662,0.728738424,40.32948206,55.34150624,57.62811814,67.67569726,61.98386887,69.69935437,61042.25,47.63750712,0.348298431,21525.48581,0.352632575,60991,631.9992065,817.6962891,32719676592,3.593578645,98.48226929,4.486443139,972.0010986,58.69077257,728.610635,735.1525269,139.2065735,832.7945251,40.70801348,732.4392751,-0.644642584,32719676592,0.097791458,5593.834398,613.9517179,24.62721185,4178.857981,-103.5659143,32.30787428,2.499513679,0.856244679,1.100181185,1.905283993,1.255292741,0.022028933,6.087752021,-0.294702706,0.930649489,0.566224971,0.997875495,0.60136402,0.969605013,0.484997654,0.047673546,4.517964564,8.70184699,4189.407383,0.094618402,9.71916893,613.652438,2.550649745,1580.854341,0.004415557,0.001804024,4.798183294,26111.27034,0.586200026,0.725823356,0.623828503,0.792822351,484.7312604,0.001452188,128.9858407,0.057073381,26.77743343,579.0066372,108839.7288,69450769.44,174.2499617,0.002963701,607.8840708,0.268975253,0.534321681,306.7111341,0.001881229,7.020708716,0.037054647,108111.4215,7.506945208,4399.669771,0.072136377,15.75029836,5964.398829,9.029238808,616.2733846,81.82431834,51187.32898,0.13701757,0.001772464,0.051877527,30.69325557,0.000129938
0.74897647,0.62045505,26.53631215,42.76911297,48.37354649,48.54894438,47.80167361,50.04997502,21217.75,32.03305925,0.478546989,7745.07727,0.365028208,21250,1024.744385,1144.930212,25104860979,3.038453775,58.42263794,7.629073239,1220.972778,41.41343886,1085.30346,1094.153198,718.7436523,502.229126,24.75460926,1086.924663,-1.742554181,25104860979,0.155545848,3521.622787,260.3659288,15.98905649,3120.65751,-155.8003048,20.03755622,1.174597989,0.888807614,0.738767411,1.520888418,0.613750223,0.051714191,4.969238009,-0.340717294,0.927858784,0.671395515,0.997374749,0.688393814,0.967243011,0.478335074,0.102948809,3.927588493,5.303038551,1885.644793,0.141792516,6.832965474,252.5728747,3.861063018,1029.468759,0.016367448,0.004983259,4.668883281,6344.859699,0.471305972,0.625049774,1.186525984,0.708207954,174.8456059,0.003757836,39.5502008,0.079418074,15.98590345,209.184739,129389.4096,35227979.06,485.3013106,0.011049094,149.7670683,0.300737085,0.567563287,117.867888,0.007360208,6.108932752,0.023435294,127568.6225,7.198005546,1167.673129,0.054949324,24.68631009,3305.349271,5.717149101,258.9343529,140.2209882,38332.16522,0.547166928,0.004634761,0.034347953,7.620891582,0.000301899
0.968441391,0.56199198,33.64240706,59.86278851,67.95586803,90.73588044,61.85466838,91.98369421,18208,57.97360217,0.1856716,18026.58556,0.990036553,18354,414.3635681,593.544989,4826667178,3.578466658,95.8371048,4.76710544,795.4695435,57.63824447,507.3538538,513.4580994,0,795.4695435,39.30478516,512.8121578,-0.722450339,4826667178,0.100832247,5568.376243,450.0584563,21.08345085,2531.682764,-46.86174594,26.04807596,3.901954435,0.738337458,1.303453315,2.14455012,2.140059196,0.02318848,6.141246011,-0.225356496,0.872681809,0.541318194,0.996315539,0.582871926,0.962592646,0.443730711,0.053320832,4.374621625,7.487507599,1388.711486,0.095938408,9.839163927,434.2688396,2.113258429,956.2284098,0.005235562,0.00274932,4.548751454,9892.898956,0.678771857,0.788140921,0.471341376,0.848529691,363.7367655,0.002405782,146.0252336,0.06823609,18.33422046,350.4252336,4152.285981,2014872.319,8.724963664,0.00477394,700.1682243,0.327181413,0.593440077,190.4661692,0.003547318,6.471353542,0.116595837,4078.727305,7.270184269,1447.995532,0.078892641,17.60233326,1850.675057,8.996505164,441.4184919,59.96077149,28329.85175,0.132190063,0.002641008,0.117436868,42.43025165,0.000541711
0.897449987,0.769017021,38.76887857,50.41355067,60.08327554,63.0634601,64.51356447,67.15653356,42962.45833,45.24364037,0.270309256,21945.69248,0.510810911,43379,672.2593506,833.7062256,24796450244,3.423192273,77.88330078,4.561838235,1075.900879,49.82043241,753.2109764,752.7865601,0,1075.900879,32.82889173,756.0577834,0.035304816,24796450244,0.114880201,4296.596847,954.8413029,30.8052837,2441.257994,25.53362983,25.28152094,1.780647067,0.868387679,0.939457031,1.726605527,0.868398559,0.029989942,5.711275233,-0.322035902,0.936213712,0.604960638,0.999088236,0.633265132,0.979513201,0.489610594,0.073503288,4.353815732,6.765542002,3339.523002,0.10883985,7.62281273,942.3912627,2.81730818,2671.461698,0.00308168,0.001130312,4.707446678,17502.2929,0.565081381,0.706747505,0.75542505,0.777791682,730.9900257,0.000890823,110.737884,0.075588999,17.37765332,855.4505119,119569.1898,113513059.5,126.9753364,0.001958061,423.4860068,0.289068947,0.556510926,465.5861152,0.001414007,6.549374527,0.033772102,118692.4235,7.380509976,3015.413472,0.069513209,17.31975527,4983.388252,6.975851662,945.0643399,91.70287466,87235.02414,0.09836442,0.001113948,0.047513856,42.37787445,8.00E-05
0.630886652,0.554793307,32.58555033,58.73457723,48.05205511,54.12023651,59.16924877,60.94259594,17602.29167,37.05486081,0.291165246,11238.90664,0.638491104,17816,590.0161133,712.6013184,7562608607,3.146656894,62.48799133,17.2754024,900.9672852,43.42859076,648.0278379,654.6986389,44.59815216,856.369133,25.96645736,651.524438,-2.611335527,7562608607,0.146056082,4544.014597,649.9210994,25.40293596,6121.345511,-194.5173578,21.4891116,3.045808242,0.745913241,0.983820358,1.795488844,2.03332742,0.042369214,5.311154582,-0.281435435,0.895996445,0.629080673,0.997772198,0.653217861,0.974666773,0.46813298,0.092026943,4.023918767,6.133729961,1695.543718,0.137565989,9.222858304,651.3902225,3.017670737,1973.863022,0.005107944,0.001950522,4.520352386,6833.921219,0.547860776,0.691288729,0.842861243,0.765397812,496.4511262,0.001585049,46.4600432,0.050172833,44.66041382,533.5669546,32614.88553,21513719.82,49.71318368,0.006097987,293.9308855,0.317419963,0.584410593,280.0859445,0.004935422,6.848560665,0.051975752,32244.7179,7.177838499,1097.326224,0.061592177,22.15399053,2602.135159,7.36195899,653.5505725,103.6315671,67973.84424,0.161189974,0.001826818,0.058657376,32.80565547,0.000311972
